community,surname
Gwich'in and Hän,Tetlichi
Klondike Settler,Boyle
Klondike Settler,Taylor
Klondike Settler,Congdon
Klondike Settler,Black
Klondike Settler,Craig
Klondike Settler,Thompson
Klondike Settler,Pattullo
Klondike Settler,Dawson
Klondike Settler,Wallace
Klondike Settler,Nelson
Klondike Settler,Skookum
Klondike Settler,Harper
Klondike Settler,McQuesten
Klondike Settler,Mayo
Ontario-British Settler,Harding
Ontario-British Settler,Pearce
Ontario-British Settler,Whitaker
Ontario-British Settler,Callaway
Ontario-British Settler,Braithwaite
Ontario-British Settler,Ellison
Ontario-British Settler,Fairbanks
Ontario-British Settler,Thornton
Ontario-British Settler,Kingsley
Toronto Industrial and Commercial,Kemp
Toronto Industrial and Commercial,Gurney
Toronto Industrial and Commercial,Harris
Toronto Industrial and Commercial,Northcote
Toronto Industrial and Commercial,Beardmore
Toronto Industrial and Commercial,Playfair
Toronto Industrial and Commercial,Hendrie
Toronto Industrial and Commercial,Langmuir
Toronto Industrial and Commercial,Wyld
Anglo-Scots Montréal Commercial,Blackwood
Anglo-Scots Montréal Commercial,Learmont
Anglo-Scots Montréal Commercial,Baird
Anglo-Scots Montréal Commercial,Sheppard
Jewish Montréal,Lyon
Jewish Montréal,Kellert
Jewish Montréal,Friedman
British and Anglo-Colonial,Pearse
British and Anglo-Colonial,Finlayson
British and Anglo-Colonial,Yates
British and Anglo-Colonial,Skinner
Cree and Saulteaux,Whitecap
Cree and Saulteaux,Keeper
Cree and Saulteaux,Lathlin
Cree and Saulteaux,Constant
Cree and Saulteaux,Napope
Cree and Saulteaux,Muskego
Blackfoot Confederacy,Wolf-Child
Blackfoot Confederacy,Morning-Bird
Blackfoot Confederacy,Fox-Head
Blackfoot Confederacy,Crow-Chief
Métis,Boucher
Métis,Isbister
Métis,Klyne
Métis,McGillis
Haida and Tsimshian,Marks
Haida and Tsimshian,Guujaaw
Haida and Tsimshian,Bennett-Laughing
Haida and Tsimshian,White
Klondike Settler,Hawksley
Klondike Settler,Fenwick
Klondike Settler,Cribbs
Klondike Settler,Lowe
Klondike Settler,Ashby
Klondike Settler,Pringle
Kanaka Hawaiian,Kahalewai
Doukhobor,Strelaeff
