id,season_no,house,action,success,detail
704,58,Cardinal,Cultivate influence,1,
705,58,Rouleau,Marriage alliance,0,
706,58,Hendrie,Expand,0,
707,58,Bhullar,Expand,1,Courtenay—Alberni
708,58,Cousineau,Cultivate influence,1,
709,58,Pegahmagabow,Consolidate (rest),1,
710,58,Byrne,Invest,1,
711,58,Meagher 2,Correspond,1,Langelier
712,59,Elliott,Name heir,1,
713,59,Wallace,Invest,1,
714,59,Stefaniuk,Petition elevation,0,
715,59,Benjamin,Invest,1,
716,59,Mercier,Cultivate influence,1,
717,59,Bouchard,Propose compact,1,Hays
718,59,Hays,Consolidate (rest),1,
719,59,McLellan,Correspond,0,
720,59,Cornwall,Cultivate influence,0,
721,59,Langelier,Correspond,1,Meagher 2
722,59,Meagher,Invest,1,
723,59,Hoover,Correspond,0,
724,59,Forbes,Correspond,1,Bouchard
725,59,Rochon,Invest,1,
726,59,Patterson,Invest,1,
727,59,Cameron,Correspond,1,Meagher 2
728,59,Bird,Expand,1,Kildonan—St. Paul
729,59,Cardinal,Invest,1,
730,59,Rouleau,Consolidate (rest),1,
731,59,Hendrie,Correspond,1,Meagher
732,59,Bhullar,Invest,1,
733,59,Cousineau,Cultivate influence,1,
734,59,Pegahmagabow,Correspond,1,Rochon
735,59,Byrne,Correspond,1,Rouleau
736,59,Meagher 2,Expand,0,
737,59,Marchand,Invest,1,
738,60,Elliott,Propose compact,1,Langelier
739,60,Wallace,Expand,0,
740,60,Stefaniuk,Invest,1,
741,60,Benjamin,Invest,1,
742,60,Mercier,Invest,1,
743,60,Bouchard,Cultivate influence,1,
744,60,Hays,Marriage alliance,1,McLellan
745,60,McLellan,Consolidate (rest),1,
746,60,Cornwall,Expand,0,
747,60,Langelier,Correspond,1,Patterson
748,60,Meagher,Invest,1,
749,60,Hoover,Invest,1,
750,60,Forbes,Cultivate influence,1,
751,60,Rochon,Expand,1,Scarborough Centre—Don Valley East
752,60,Patterson,Correspond,0,Hoover
753,60,Cameron,Invest,1,
754,60,Bird,Invest,1,
755,60,Cardinal,Invest,1,
756,60,Rouleau,Invest,1,
757,60,Hendrie,Cultivate influence,0,
758,60,Bhullar,Expand,1,North Island—Powell River
759,60,Pegahmagabow,Marriage alliance,0,
760,60,Byrne,Invest,1,
761,60,Meagher 2,Expand,0,
762,60,Marchand,Correspond,0,
763,61,Elliott,Cultivate influence,1,
764,61,Wallace,Name heir,1,
765,61,Stefaniuk,Expand,1,Portage—Lisgar
766,61,Benjamin,Endow,1,
767,61,Mercier,Correspond,0,
768,61,Bouchard,Invest,1,
769,61,Hays,Petition elevation,1,
770,61,McLellan,Consolidate (rest),1,
771,61,Cornwall,Expand,0,
772,61,Langelier,Name heir,1,
773,61,Meagher,Correspond,0,
774,61,Hoover,Consolidate (rest),1,
775,61,Forbes,Correspond,0,
776,61,Rochon,Expand,1,Eglinton—Lawrence
777,61,Patterson,Invest,1,
778,61,Cameron,Correspond,1,Meagher 2
779,61,Bird,Consolidate (rest),1,
780,61,Cardinal,Cultivate influence,1,
781,61,Rouleau,Expand,1,Beloeil—Chambly
782,61,Hendrie,Invest,1,
783,61,Bhullar,Expand,1,Skeena—Bulkley Valley
784,61,Pegahmagabow,Expand,1,Thunder Bay—Superior North
785,61,Byrne,Correspond,1,Rouleau
786,61,Meagher 2,Consolidate (rest),1,
787,61,Marchand,Cultivate influence,1,
788,62,Elliott,Correspond,0,
789,62,Wallace,Correspond,1,Rochon
790,62,Stefaniuk,Name heir,1,
791,62,Benjamin,Cultivate influence,1,
792,62,Mercier,Expand,0,
793,62,Bouchard,Consolidate (rest),1,
794,62,Hays,Correspond,1,Cardinal
795,62,McLellan,Cultivate influence,0,
796,62,Cornwall,Correspond,1,Bhullar
797,62,Langelier,Invest,1,
798,62,Meagher,Invest,1,
799,62,Hoover,Propose compact,0,
800,62,Forbes,Expand,0,
801,62,Rochon,Cultivate influence,0,
802,62,Patterson,Invest,1,
803,62,Cameron,Expand,1,Thornhill
804,62,Bird,Cultivate influence,1,
805,62,Cardinal,Expand,1,St. Boniface—St. Vital
806,62,Rouleau,Invest,1,
807,62,Hendrie,Cultivate influence,1,
808,62,Bhullar,Cultivate influence,0,
809,62,Pegahmagabow,Cultivate influence,1,
810,62,Byrne,Invest,1,
811,62,Meagher 2,Consolidate (rest),1,
812,62,Marchand,Consolidate (rest),1,
813,63,Elliott,Expand,1,Pontiac—Kitigan Zibi
814,63,Wallace,Expand,0,
815,63,Stefaniuk,Consolidate (rest),1,
816,63,Benjamin,Invest,1,
817,63,Mercier,Expand,1,Thérèse-De Blainville
818,63,Bouchard,Propose compact,0,
819,63,Hays,Invest,1,
820,63,McLellan,Correspond,1,Rouleau
821,63,Cornwall,Cultivate influence,0,
822,63,Langelier,Invest,1,
823,63,Meagher,Name heir,1,
824,63,Hoover,Expand,0,
825,63,Forbes,Correspond,1,Bouchard
826,63,Rochon,Invest,1,
827,63,Patterson,Expand,0,
828,63,Cameron,Cultivate influence,1,
829,63,Bird,Invest,1,
830,63,Cardinal,Invest,1,
831,63,Rouleau,Invest,1,
832,63,Hendrie,Invest,1,
833,63,Bhullar,Propose compact,0,
834,63,Pegahmagabow,Cultivate influence,1,
835,63,Byrne,Endow,1,
836,63,Meagher 2,Name heir,1,
837,63,Marchand,Invest,1,
838,63,Skye,Name heir,1,
839,64,Elliott,Cultivate influence,1,
840,64,Wallace,Consolidate (rest),1,
841,64,Stefaniuk,Correspond,1,Benjamin
842,64,Benjamin,Petition elevation,0,
843,64,Mercier,Propose compact,1,Bouchard
844,64,Bouchard,Name heir,1,
845,64,Hays,Consolidate (rest),1,
846,64,McLellan,Invest,1,
847,64,Cornwall,Cultivate influence,1,
848,64,Langelier,Consolidate (rest),1,
849,64,Meagher,Cultivate influence,0,
850,64,Hoover,Cultivate influence,1,
851,64,Forbes,Cultivate influence,1,
852,64,Rochon,Invest,1,
853,64,Patterson,Cultivate influence,1,
854,64,Cameron,Correspond,1,Hendrie
855,64,Bird,Cultivate influence,0,
856,64,Cardinal,Correspond,0,
857,64,Rouleau,Expand,1,Vaudreuil
858,64,Hendrie,Cultivate influence,0,
859,64,Bhullar,Cultivate influence,1,
860,64,Pegahmagabow,Correspond,0,Rochon
861,64,Byrne,Propose compact,0,
862,64,Meagher 2,Correspond,1,Cameron
863,64,Marchand,Expand,1,Pierrefonds—Dollard
864,64,Skye,Cultivate influence,0,
865,65,Elliott,Correspond,1,Pegahmagabow
866,65,Wallace,Invest,1,
867,65,Stefaniuk,Petition elevation,0,
868,65,Benjamin,Marriage alliance,1,Wallace
869,65,Mercier,Propose compact,0,
870,65,Bouchard,Consolidate (rest),1,
871,65,Hays,Cultivate influence,0,
872,65,McLellan,Invest,1,
873,65,Cornwall,Correspond,1,Bhullar
874,65,Langelier,Expand,1,Labrador
875,65,Meagher,Correspond,0,
876,65,Hoover,Petition elevation,0,
877,65,Forbes,Correspond,1,Rouleau
878,65,Rochon,Expand,0,
879,65,Patterson,Expand,0,
880,65,Cameron,Name heir,1,
881,65,Bird,Cultivate influence,1,
882,65,Cardinal,Invest,1,
883,65,Rouleau,Invest,1,
884,65,Hendrie,Correspond,1,Cameron
885,65,Bhullar,Invest,1,
886,65,Pegahmagabow,Reconcile,1,Rochon
887,65,Byrne,Expand,0,
888,65,Meagher 2,Cultivate influence,0,
889,65,Marchand,Cultivate influence,0,
890,65,Skye,Consolidate (rest),1,
891,65,Proulx,Correspond,1,Cardinal
892,66,Elliott,Correspond,1,Pegahmagabow
893,66,Wallace,Cultivate influence,0,
894,66,Stefaniuk,Consolidate (rest),1,
895,66,Benjamin,Invest,1,
896,66,Mercier,Consolidate (rest),1,
897,66,Bouchard,Marriage alliance,1,Wallace
898,66,Hays,Propose compact,0,
899,66,McLellan,Expand,1,Cardigan
900,66,Cornwall,Consolidate (rest),1,
901,66,Langelier,Propose compact,0,
902,66,Meagher,Propose compact,1,Cameron
903,66,Hoover,Correspond,1,Wallace
904,66,Forbes,Expand,1,Halifax West
905,66,Rochon,Expand,0,
906,66,Patterson,Consolidate (rest),1,
907,66,Cameron,Invest,1,
908,66,Bird,Consolidate (rest),1,
909,66,Cardinal,Correspond,0,
910,66,Rouleau,Invest,1,
911,66,Hendrie,Cultivate influence,1,
912,66,Bhullar,Consolidate (rest),1,
913,66,Pegahmagabow,Invest,1,
914,66,Byrne,Cultivate influence,1,
915,66,Meagher 2,Invest,1,
916,66,Marchand,Cultivate influence,1,
917,66,Skye,Invest,1,
918,66,Proulx,Expand,1,Beauharnois—Salaberry—Soulanges—Huntingdon
919,66,Worts,Invest,1,
920,67,Elliott,Consolidate (rest),1,
921,67,Wallace,Expand,1,Kitchener—Conestoga
922,67,Stefaniuk,Correspond,1,Mercier
923,67,Benjamin,Consolidate (rest),1,
924,67,Mercier,Correspond,0,Stefaniuk
925,67,Bouchard,Propose compact,0,
926,67,Hays,Invest,1,
927,67,McLellan,Consolidate (rest),1,
928,67,Cornwall,Cultivate influence,0,
929,67,Langelier,Cultivate influence,1,
930,67,Meagher,Consolidate (rest),1,
931,67,Hoover,Invest,1,
932,67,Forbes,Cultivate influence,0,
933,67,Rochon,Invest,1,
934,67,Patterson,Correspond,0,
935,67,Cameron,Correspond,1,Rochon
936,67,Bird,Cultivate influence,1,
937,67,Cardinal,Correspond,1,Proulx
938,67,Rouleau,Expand,0,
939,67,Hendrie,Correspond,1,Meagher
940,67,Bhullar,Name heir,1,
941,67,Pegahmagabow,Correspond,1,Wallace
942,67,Byrne,Invest,1,
943,67,Meagher 2,Marriage alliance,0,
944,67,Marchand,Consolidate (rest),1,
945,67,Skye,Expand,1,Hastings—Lennox and Addington—Tyendinaga
946,67,Proulx,Name heir,1,
947,67,Worts,Invest,1,
948,68,Elliott,Petition elevation,1,
949,68,Wallace,Propose compact,0,
950,68,Stefaniuk,Consolidate (rest),1,
951,68,Benjamin,Purchase riding,1,Beauport—Limoilou
952,68,Mercier,Invest,1,
953,68,Bouchard,Correspond,1,Wallace
954,68,Hays,Propose compact,1,Hoover
955,68,McLellan,Cultivate influence,1,
956,68,Cornwall,Marriage alliance,0,
957,68,Langelier,Dispute,0,Benjamin
958,68,Meagher,Cultivate influence,0,
959,68,Hoover,Correspond,1,Wallace
960,68,Forbes,Correspond,0,
961,68,Rochon,Petition elevation,0,
962,68,Patterson,Consolidate (rest),1,
963,68,Cameron,Invest,1,
964,68,Bird,Invest,1,
965,68,Cardinal,Correspond,0,
966,68,Rouleau,Expand,0,
967,68,Hendrie,Correspond,1,Cameron
968,68,Bhullar,Invest,1,
969,68,Pegahmagabow,Invest,1,
970,68,Byrne,Consolidate (rest),1,
971,68,Meagher 2,Correspond,0,
972,68,Marchand,Invest,1,
973,68,Skye,Invest,1,
974,68,Proulx,Correspond,1,Cameron
975,68,Worts,Expand,1,Brampton North—Caledon
976,69,Elliott,Propose compact,1,Mercier
977,69,Wallace,Correspond,0,
978,69,Stefaniuk,Reconcile,1,Mercier
979,69,Benjamin,Correspond,1,Elliott
980,69,Mercier,Dispute,0,Benjamin
981,69,Bouchard,Endow,1,
982,69,Hays,Cultivate influence,1,
983,69,McLellan,Invest,1,
984,69,Cornwall,Invest,1,
985,69,Langelier,Invest,1,
986,69,Meagher,Cultivate influence,1,
987,69,Hoover,Expand,0,
988,69,Forbes,Invest,1,
989,69,Rochon,Expand,0,
990,69,Patterson,Correspond,1,Mercier
991,69,Cameron,Cultivate influence,1,
992,69,Bird,Cultivate influence,1,
993,69,Cardinal,Invest,1,
994,69,Rouleau,Invest,1,
995,69,Hendrie,Propose compact,1,Meagher
996,69,Bhullar,Expand,1,Prince George—Peace River—Northern Rockies
997,69,Pegahmagabow,Cultivate influence,1,
998,69,Byrne,Invest,1,
999,69,Meagher 2,Cultivate influence,1,
1000,69,Marchand,Cultivate influence,1,
1001,69,Skye,Cultivate influence,1,
1002,69,Proulx,Propose compact,1,Cardinal
1003,69,Worts,Name heir,1,
1004,69,Colby,Name heir,1,
1005,70,Elliott,Marriage alliance,0,
1006,70,Wallace,Cultivate influence,1,
1007,70,Stefaniuk,Invest,1,
1008,70,Benjamin,Propose compact,1,Stefaniuk
1009,70,Mercier,Correspond,1,Patterson
1010,70,Bouchard,Correspond,0,
1011,70,Hays,Invest,1,
1012,70,McLellan,Invest,1,
1013,70,Cornwall,Invest,1,
1014,70,Langelier,Expand,0,
1015,70,Meagher,Propose compact,0,
1016,70,Hoover,Invest,1,
1017,70,Forbes,Expand,0,
1018,70,Rochon,Correspond,0,
1019,70,Patterson,Consolidate (rest),1,
1020,70,Cameron,Correspond,0,
1021,70,Bird,Endow,1,
1022,70,Cardinal,Consolidate (rest),1,
1023,70,Rouleau,Propose compact,0,
1024,70,Hendrie,Expand,1,Mississauga—Malton
1025,70,Bhullar,Invest,1,
1026,70,Pegahmagabow,Invest,1,
1027,70,Byrne,Expand,1,Mississauga—Lakeshore
1028,70,Meagher 2,Invest,1,
1029,70,Marchand,Endow,1,
1030,70,Skye,Correspond,1,Bird
1031,70,Proulx,Propose compact,0,
1032,70,Worts,Invest,1,
1033,70,Colby,Consolidate (rest),1,
1034,71,Elliott,Correspond,0,
1035,71,Wallace,Invest,1,
1036,71,Stefaniuk,Consolidate (rest),1,
1037,71,Benjamin,Consolidate (rest),1,
1038,71,Mercier,Cultivate influence,0,
1039,71,Bouchard,Invest,1,
1040,71,Hays,Correspond,1,Langelier
1041,71,McLellan,Cultivate influence,0,
1042,71,Cornwall,Marriage alliance,0,
1043,71,Langelier,Dispute,0,Benjamin
1044,71,Meagher,Cultivate influence,0,
1045,71,Hoover,Invest,1,
1046,71,Forbes,Expand,1,Halifax
1047,71,Rochon,Propose compact,0,
1048,71,Patterson,Correspond,0,
1049,71,Cameron,Cultivate influence,1,
1050,71,Bird,Cultivate influence,1,
1051,71,Cardinal,Correspond,1,Worts
1052,71,Rouleau,Cultivate influence,1,
1053,71,Hendrie,Correspond,1,Benjamin
1054,71,Bhullar,Correspond,1,Cornwall
1055,71,Pegahmagabow,Marriage alliance,1,Elliott
1056,71,Byrne,Correspond,0,
1057,71,Meagher 2,Expand,1,Windsor West
1058,71,Marchand,Name heir,1,
1059,71,Skye,Correspond,1,Bird
1060,71,Proulx,Correspond,0,
1061,71,Worts,Correspond,0,
1062,71,Colby,Expand,1,Berthier—Maskinongé
1063,71,Gillies,Cultivate influence,1,
1064,72,Elliott,Cultivate influence,1,
1065,72,Wallace,Expand,1,Kitchener South—Hespeler
1066,72,Stefaniuk,Consolidate (rest),1,
1067,72,Benjamin,Invest,1,
1068,72,Mercier,Propose compact,1,Patterson
1069,72,Bouchard,Invest,1,
1070,72,Hays,Correspond,1,Langelier
1071,72,McLellan,Propose compact,0,
1072,72,Cornwall,Expand,0,
1073,72,Langelier,Name heir,1,
1074,72,Meagher,Cultivate influence,1,
1075,72,Hoover,Correspond,1,Skye
1076,72,Forbes,Expand,1,Dartmouth—Cole Harbour
1077,72,Rochon,Correspond,1,Wallace
1078,72,Patterson,Expand,0,
1079,72,Cameron,Consolidate (rest),1,
1080,72,Bird,Correspond,1,Gillies
1081,72,Cardinal,Endow,1,
1082,72,Rouleau,Name heir,1,
1083,72,Hendrie,Correspond,0,
1084,72,Bhullar,Marriage alliance,1,Cornwall
1085,72,Pegahmagabow,Cultivate influence,1,
1086,72,Byrne,Cultivate influence,1,
1087,72,Meagher 2,Invest,1,
1088,72,Marchand,Expand,1,Laval—Les Îles
1089,72,Skye,Cultivate influence,1,
1090,72,Proulx,Consolidate (rest),1,
1091,72,Worts,Expand,1,Brampton—Chinguacousy Park
1092,72,Colby,Cultivate influence,1,
1093,72,Gillies,Expand,0,
1094,72,Fairbanks,Expand,0,
1095,73,Elliott,Invest,1,
1096,73,Wallace,Invest,1,
1097,73,Stefaniuk,Dispute,1,Cardinal
1098,73,Benjamin,Expand,0,
1099,73,Mercier,Propose compact,0,
1100,73,Bouchard,Expand,0,
1101,73,Hays,Propose compact,1,Cardinal
1102,73,McLellan,Invest,1,
1103,73,Cornwall,Invest,1,
1104,73,Langelier,Cultivate influence,1,
1105,73,Meagher,Invest,1,
1106,73,Hoover,Invest,1,
1107,73,Forbes,Invest,1,
1108,73,Rochon,Expand,1,York Centre
1109,73,Patterson,Petition elevation,1,
1110,73,Cameron,Invest,1,
1111,73,Bird,Consolidate (rest),1,
1112,73,Cardinal,Consolidate (rest),1,
1113,73,Rouleau,Cultivate influence,1,
1114,73,Hendrie,Marriage alliance,1,Meagher
1115,73,Bhullar,Consolidate (rest),1,
1116,73,Pegahmagabow,Cultivate influence,0,
1117,73,Byrne,Marriage alliance,1,Rouleau
1118,73,Meagher 2,Expand,0,
1119,73,Marchand,Cultivate influence,1,
1120,73,Skye,Correspond,0,
1121,73,Proulx,Expand,1,Stormont—Dundas—Glengarry
1122,73,Worts,Consolidate (rest),1,
1123,73,Colby,Cultivate influence,1,
1124,73,Gillies,Cultivate influence,1,
1125,73,Fairbanks,Cultivate influence,1,
1126,73,Lucas,Name heir,1,
1127,74,Elliott,Correspond,1,Skye
1128,74,Wallace,Expand,0,
1129,74,Stefaniuk,Invest,1,
1130,74,Benjamin,Cultivate influence,0,
1131,74,Mercier,Invest,1,
1132,74,Bouchard,Consolidate (rest),1,
1133,74,Hays,Invest,1,
1134,74,McLellan,Propose compact,0,
1135,74,Cornwall,Expand,1,Kamloops—Shuswap—Central Rockies
1136,74,Langelier,Consolidate (rest),1,
1137,74,Meagher,Consolidate (rest),1,
1138,74,Hoover,Invest,1,
1139,74,Forbes,Cultivate influence,1,
1140,74,Rochon,Cultivate influence,0,
1141,74,Patterson,Consolidate (rest),1,
1142,74,Cameron,Expand,1,Markham—Unionville
1143,74,Bird,Consolidate (rest),1,
1144,74,Cardinal,Name heir,1,
1145,74,Rouleau,Cultivate influence,0,
1146,74,Hendrie,Correspond,1,Benjamin
1147,74,Bhullar,Expand,0,
1148,74,Pegahmagabow,Invest,1,
1149,74,Byrne,Correspond,0,
1150,74,Meagher 2,Consolidate (rest),1,
1151,74,Marchand,Correspond,1,Patterson
1152,74,Skye,Consolidate (rest),1,
1153,74,Proulx,Correspond,1,Cameron
1154,74,Worts,Cultivate influence,1,
1155,74,Colby,Consolidate (rest),1,
1156,74,Gillies,Correspond,1,Bird
1157,74,Fairbanks,Invest,1,
1158,74,Lucas,Cultivate influence,1,
1159,75,Elliott,Propose compact,1,Hoover
1160,75,Wallace,Cultivate influence,1,
1161,75,Stefaniuk,Invest,1,
1162,75,Benjamin,Correspond,0,
1163,75,Mercier,Correspond,0,
1164,75,Bouchard,Correspond,1,Dawes
1165,75,Hays,Propose compact,1,Langelier
1166,75,McLellan,Dispute,0,Forbes
1167,75,Cornwall,Cultivate influence,1,
1168,75,Langelier,Consolidate (rest),1,
1169,75,Meagher,Invest,1,
1170,75,Hoover,Invest,1,
1171,75,Forbes,Cultivate influence,0,
1172,75,Rochon,Correspond,1,Cameron
1173,75,Patterson,Cultivate influence,1,
1174,75,Cameron,Cultivate influence,0,
1175,75,Bird,Propose compact,1,Gillies
1176,75,Cardinal,Marriage alliance,1,Proulx
1177,75,Rouleau,Correspond,1,Forbes
1178,75,Hendrie,Correspond,1,Rouleau
1179,75,Bhullar,Expand,0,
1180,75,Pegahmagabow,Expand,0,
1181,75,Byrne,Invest,1,
1182,75,Meagher 2,Marriage alliance,0,
1183,75,Marchand,Correspond,1,Patterson
1184,75,Skye,Correspond,0,
1185,75,Proulx,Invest,1,
1186,75,Worts,Consolidate (rest),1,
1187,75,Colby,Correspond,0,
1188,75,Gillies,Cultivate influence,0,
1189,75,Fairbanks,Expand,1,Edmonton Northwest
1190,75,Lucas,Invest,1,
1191,75,Dawes,Correspond,0,
1192,76,Elliott,Cultivate influence,0,
1193,76,Wallace,Name heir,1,
1194,76,Stefaniuk,Expand,1,Prince Albert
1195,76,Benjamin,Reconcile,1,Mercier
1196,76,Mercier,Invest,1,
1197,76,Bouchard,Cultivate influence,0,
1198,76,Hays,Consolidate (rest),1,
1199,76,McLellan,Correspond,1,Rouleau
1200,76,Cornwall,Invest,1,
1201,76,Langelier,Invest,1,
1202,76,Meagher,Invest,1,
1203,76,Hoover,Expand,1,Gatineau
1204,76,Forbes,Propose compact,1,Bouchard
1205,76,Rochon,Invest,1,
1206,76,Patterson,Propose compact,0,
1207,76,Cameron,Invest,1,
1208,76,Bird,Name heir,1,
1209,76,Cardinal,Cultivate influence,1,
1210,76,Rouleau,Invest,1,
1211,76,Hendrie,Consolidate (rest),1,
1212,76,Bhullar,Invest,1,
1213,76,Pegahmagabow,Cultivate influence,1,
1214,76,Byrne,Expand,1,Mississauga—Erin Mills
1215,76,Meagher 2,Expand,0,
1216,76,Marchand,Consolidate (rest),1,
1217,76,Skye,Invest,1,
1218,76,Proulx,Cultivate influence,1,
1219,76,Worts,Correspond,1,Cardinal
1220,76,Colby,Cultivate influence,1,
1221,76,Gillies,Invest,1,
1222,76,Fairbanks,Cultivate influence,1,
1223,76,Lucas,Expand,0,
1224,76,Dawes,Name heir,1,
1225,77,Elliott,Invest,1,
1226,77,Wallace,Cultivate influence,0,
1227,77,Stefaniuk,Consolidate (rest),1,
1228,77,Benjamin,Cultivate influence,1,
1229,77,Mercier,Name heir,1,
1230,77,Bouchard,Consolidate (rest),1,
1231,77,Hays,Correspond,1,Elliott
1232,77,McLellan,Cultivate influence,1,
1233,77,Cornwall,Invest,1,
1234,77,Langelier,Cultivate influence,1,
1235,77,Meagher,Consolidate (rest),1,
1236,77,Hoover,Invest,1,
1237,77,Forbes,Invest,1,
1238,77,Rochon,Name heir,1,
1239,77,Patterson,Name heir,1,
1240,77,Cameron,Invest,1,
1241,77,Bird,Cultivate influence,1,
1242,77,Cardinal,Cede / swap,1,Bird
1243,77,Rouleau,Invest,1,
1244,77,Hendrie,Invest,1,
1245,77,Bhullar,Invest,1,
1246,77,Pegahmagabow,Invest,1,
1247,77,Byrne,Cultivate influence,1,
1248,77,Meagher 2,Correspond,0,
1249,77,Marchand,Cultivate influence,0,
1250,77,Skye,Expand,0,
1251,77,Proulx,Consolidate (rest),1,
1252,77,Worts,Invest,1,
1253,77,Colby,Correspond,1,Hays
1254,77,Gillies,Correspond,1,Pegahmagabow
1255,77,Fairbanks,Invest,1,
1256,77,Lucas,Invest,1,
1257,77,Dawes,Consolidate (rest),1,
1258,77,Wallace 2,Invest,1,
1259,78,Elliott,Correspond,1,Skye
1260,78,Wallace,Cultivate influence,1,
1261,78,Stefaniuk,Name heir,1,
1262,78,Benjamin,Invest,1,
1263,78,Mercier,Propose compact,0,
1264,78,Bouchard,Consolidate (rest),1,
1265,78,Hays,Invest,1,
1266,78,McLellan,Name heir,1,
1267,78,Cornwall,Expand,1,Pitt Meadows—Maple Ridge
1268,78,Langelier,Petition elevation,1,
1269,78,Meagher,Expand,0,
1270,78,Hoover,Cultivate influence,1,
1271,78,Forbes,Cultivate influence,1,
1272,78,Rochon,Petition elevation,0,
1273,78,Patterson,Correspond,1,Forbes
1274,78,Cameron,Consolidate (rest),1,
1275,78,Bird,Correspond,1,Byrne
1276,78,Cardinal,Consolidate (rest),1,
1277,78,Rouleau,Invest,1,
1278,78,Hendrie,Cultivate influence,1,
1279,78,Bhullar,Expand,1,Yukon
1280,78,Pegahmagabow,Cultivate influence,0,
1281,78,Byrne,Petition elevation,0,
1282,78,Meagher 2,Cultivate influence,0,
1283,78,Marchand,Invest,1,
1284,78,Skye,Marriage alliance,0,
1285,78,Proulx,Expand,1,Argenteuil—La Petite-Nation
1286,78,Worts,Correspond,1,Dawes
1287,78,Colby,Correspond,0,
1288,78,Gillies,Cultivate influence,1,
1289,78,Fairbanks,Cultivate influence,1,
1290,78,Lucas,Consolidate (rest),1,
1291,78,Dawes,Cultivate influence,1,
1292,78,Wallace 2,Correspond,0,
1293,78,Turgeon,Expand,1,Alfred-Pellan
1294,79,Elliott,Consolidate (rest),1,
1295,79,Wallace,Correspond,1,Pegahmagabow
1296,79,Stefaniuk,Reconcile,1,Bird
1297,79,Benjamin,Reconcile,1,Bouchard
1298,79,Mercier,Correspond,1,Hays
1299,79,Bouchard,Expand,0,
1300,79,Hays,Propose compact,0,
1301,79,McLellan,Marriage alliance,1,Mercier
1302,79,Cornwall,Consolidate (rest),1,
1303,79,Langelier,Cultivate influence,1,
1304,79,Meagher,Cultivate influence,1,
1305,79,Hoover,Endow,1,
1306,79,Forbes,Propose compact,0,
1307,79,Rochon,Invest,1,
1308,79,Patterson,Expand,1,Tobique—Mactaquac
1309,79,Cameron,Invest,1,
1310,79,Bird,Invest,1,
1311,79,Cardinal,Correspond,1,Hoover
1312,79,Rouleau,Expand,0,
1313,79,Hendrie,Invest,1,
1314,79,Bhullar,Cultivate influence,1,
1315,79,Pegahmagabow,Cultivate influence,1,
1316,79,Byrne,Consolidate (rest),1,
1317,79,Meagher 2,Expand,1,Essex
1318,79,Marchand,Cultivate influence,1,
1319,79,Skye,Invest,1,
1320,79,Proulx,Invest,1,
1321,79,Worts,Correspond,0,
1322,79,Colby,Cultivate influence,1,
1323,79,Gillies,Invest,1,
1324,79,Fairbanks,Invest,1,
1325,79,Lucas,Consolidate (rest),1,
1326,79,Dawes,Expand,1,Ahuntsic-Cartierville
1327,79,Wallace 2,Expand,1,Middlesex—London
1328,79,Turgeon,Correspond,1,Bouchard
1329,80,Elliott,Cultivate influence,0,
1330,80,Wallace,Cultivate influence,0,
1331,80,Stefaniuk,Marriage alliance,0,
1332,80,Benjamin,Cultivate influence,1,
1333,80,Mercier,Cultivate influence,0,
1334,80,Bouchard,Correspond,1,Turgeon
1335,80,Hays,Invest,1,
1336,80,McLellan,Correspond,1,Colby
1337,80,Cornwall,Correspond,1,Bhullar
1338,80,Langelier,Correspond,1,Rouleau
1339,80,Meagher,Expand,1,Sudbury East—Manitoulin—Nickel Belt
1340,80,Hoover,Expand,0,
1341,80,Forbes,Cultivate influence,0,
1342,80,Rochon,Propose compact,1,Hoover
1343,80,Patterson,Marriage alliance,1,Langelier
1344,80,Cameron,Invest,1,
1345,80,Bird,Correspond,0,
1346,80,Cardinal,Invest,1,
1347,80,Rouleau,Expand,1,Saint-Laurent
1348,80,Hendrie,Invest,1,
1349,80,Bhullar,Consolidate (rest),1,
1350,80,Pegahmagabow,Expand,0,
1351,80,Byrne,Expand,1,Etobicoke—Lakeshore
1352,80,Meagher 2,Cultivate influence,0,
1353,80,Marchand,Correspond,1,Dawes
1354,80,Skye,Consolidate (rest),1,
1355,80,Proulx,Expand,1,Leeds—Grenville—Thousand Islands—Rideau Lakes
1356,80,Worts,Invest,1,
1357,80,Colby,Invest,1,
1358,80,Gillies,Name heir,1,
1359,80,Fairbanks,Expand,1,Sherwood Park—Fort Saskatchewan
1360,80,Lucas,Expand,0,
1361,80,Dawes,Cultivate influence,1,
1362,80,Wallace 2,Consolidate (rest),1,
1363,80,Turgeon,Correspond,1,Cameron
1364,81,Elliott,Expand,0,
1365,81,Wallace,Marriage alliance,1,Rochon
1366,81,Stefaniuk,Cultivate influence,1,
1367,81,Benjamin,Petition elevation,0,
1368,81,Mercier,Cultivate influence,0,
1369,81,Bouchard,Cultivate influence,1,
1370,81,Hays,Correspond,1,Colby
1371,81,McLellan,Correspond,0,
1372,81,Cornwall,Correspond,1,Fairbanks
1373,81,Langelier,Invest,1,
1374,81,Meagher,Consolidate (rest),1,
1375,81,Hoover,Correspond,1,Cardinal
1376,81,Forbes,Name heir,1,
1377,81,Rochon,Correspond,1,Wallace 2
1378,81,Patterson,Propose compact,1,Rouleau
1379,81,Cameron,Expand,0,
1380,81,Bird,Petition elevation,1,
1381,81,Cardinal,Cultivate influence,1,
1382,81,Rouleau,Expand,0,
1383,81,Hendrie,Expand,1,Etobicoke North
1384,81,Bhullar,Invest,1,
