season_no,house,capital,influence,cohesion,ambition,holdings
140,Elliott,36,88,100,3,5
140,Elliott 2,33,71,100,3,4
140,Furlong,45,45,83,10,3
140,Gillies,50,76,95,6,6
140,Gillies 2,35,70,95,8,3
140,Hays,45,100,93,1,2
140,Hendrie,39,68,100,0,7
140,Hoover,27,78,100,3,6
140,Jarvis,43,49,99,7,4
140,Langelier,53,81,95,1,6
140,Langelier 2,38,100,100,8,1
140,Lucas,50,100,100,10,2
140,Marchand,65,95,95,0,3
140,McLellan,42,100,94,10,10
140,Meagher,44,94,100,3,5
140,Meagher 2,38,53,100,10,6
140,Mercier,37,95,69,6,7
140,Murray,44,30,84,4,1
140,Patterson,40,86,100,6,6
140,Pegahmagabow,18,100,100,2,5
140,Proulx,24,70,100,7,6
140,Rochon,59,100,68,8,7
140,Rouleau,29,64,100,9,8
140,Rouleau 2,27,57,85,8,3
140,Shawanaga,51,76,100,1,1
140,Skye,49,58,100,10,3
140,Smoke,45,67,100,5,5
140,Stefaniuk,58,46,51,7,6
140,Stefaniuk 2,36,23,48,8,6
140,Stefaniuk 3,58,44,100,9,4
140,Turgeon,32,71,80,5,7
140,Uniacke,47,59,63,9,3
140,Wallace,32,61,100,4,9
140,Wallace 2,29,11,100,4,13
140,Worts,33,61,100,3,8
145,Beauvais,48,52,48,5,3
145,Benjamin,45,70,53,5,7
145,Benjamin 2,52,58,85,6,2
145,Bhullar,35,53,93,10,11
145,Bird,60,69,98,10,6
145,Bouchard,55,85,73,10,17
145,Byrne,54,99,98,3,7
145,Cameron,40,69,100,7,12
145,Cardinal,45,100,75,10,2
145,Cashin,36,30,79,1,1
145,Chapais,47,99,93,8,2
145,Cogswell,44,39,100,6,4
145,Colby,44,100,100,0,1
145,Cornwall,27,86,100,1,7
145,Cornwall 2,29,26,100,1,6
145,Dawes,46,99,100,1,6
145,Dickson,53,49,100,0,3
145,Dyck,38,34,100,6,4
145,Elliott,44,88,100,4,4
145,Elliott 2,28,83,100,4,4
145,Furlong,56,51,98,10,3
145,Gillies,56,71,75,6,4
145,Gillies 2,51,77,100,8,3
145,Hays,40,100,98,0,2
145,Hendrie,34,81,100,0,7
145,Hendry,37,25,79,2,1
145,Hoover,33,90,100,4,6
145,Jarvis,44,60,100,8,4
145,Langelier,64,77,100,1,6
145,Langelier 2,59,95,100,8,1
145,Lucas,56,100,100,10,2
145,Marchand,55,85,100,0,3
145,McLellan,37,95,100,9,10
145,Meagher,60,100,100,3,5
145,Meagher 2,41,75,100,10,6
145,Mercier,45,100,64,5,8
145,Murray,34,42,94,3,1
145,Patterson,46,86,100,6,6
145,Pegahmagabow,18,75,95,3,5
145,Proulx,37,55,100,8,7
145,Rochon,49,100,58,9,8
145,Rouleau,24,69,80,8,8
145,Rouleau 2,22,80,93,7,3
145,Shawanaga,36,82,100,1,1
145,Skye,59,65,100,10,3
145,Smoke,40,73,100,5,4
145,Stefaniuk,53,53,41,7,7
145,Stefaniuk 2,65,24,33,8,6
145,Stefaniuk 3,48,55,100,9,4
145,Trudel,40,48,82,8,1
145,Turgeon,27,77,60,5,7
145,Uniacke,57,55,84,9,3
145,Wallace,17,73,100,4,9
145,Wallace 2,50,1,100,4,14
145,Worts,59,56,100,4,9
150,Beauvais,38,54,61,5,3
150,Benjamin,76,60,56,5,7
150,Benjamin 2,65,53,80,7,2
150,Bhullar,35,48,95,10,6
150,Bhullar 2,25,24,64,10,5
150,Bird,68,59,88,10,6
150,Bouchard,40,97,81,10,17
150,Byrne,49,99,100,3,7
150,Cameron,20,65,95,7,13
150,Cardinal,40,100,75,10,1
150,Cashin,44,49,84,1,1
150,Chapais,42,99,91,8,2
150,Cogswell,34,56,100,6,4
150,Colby,42,100,100,0,1
150,Cornwall,51,86,100,1,7
150,Cornwall 2,27,43,95,1,6
150,Dawes,39,100,100,2,6
150,Dickson,43,66,100,0,3
150,Dyck,36,35,95,6,5
150,Elliott,47,94,100,4,4
150,Elliott 2,36,100,100,4,4
150,Furlong,64,56,100,10,3
150,Gillies,56,71,80,6,3
150,Gillies 2,41,88,100,7,3
150,Hays,51,100,75,0,2
150,Hendrie,39,66,100,0,7
150,Hendry,30,21,79,2,3
150,Hoover,33,70,100,4,6
150,Jarvis,48,76,100,8,4
150,Langelier,60,83,80,1,5
150,Langelier 2,49,100,90,9,1
150,Lucas,41,100,100,10,2
150,Marchand,70,66,100,0,3
150,McLellan,27,95,100,9,10
150,Meagher,46,100,100,3,5
150,Meagher 2,44,75,100,10,6
150,Mercier,43,100,74,5,8
150,Murray,50,49,99,3,1
150,Patterson,41,92,100,7,6
150,Pegahmagabow,26,75,100,3,5
150,Proulx,27,67,100,8,7
150,Rochon,34,100,58,9,8
150,Rouleau,29,70,65,8,8
150,Rouleau 2,22,82,88,7,3
150,Shawanaga,34,94,100,0,1
150,Skye,77,55,100,10,3
150,Smoke,35,69,100,4,4
150,Sparrow,35,28,73,2,2
150,Stefaniuk,71,49,41,8,8
150,Stefaniuk 2,43,45,44,8,6
150,Stefaniuk 3,66,55,100,10,4
150,Trudel,35,50,87,8,1
150,Turgeon,17,78,45,4,7
150,Uniacke,40,55,74,10,3
150,Wallace,33,73,100,4,9
150,Wallace 2,30,16,100,4,8
150,Wallace 3,38,5,63,4,6
150,Worts,42,66,90,4,10
