id,turn_id,kind,era_cohort,title,narrative,mechanical_delta,source,created_at
417,,societal,confederation,Canadian Pacific Railway Chartered,Season 50 · Baron Rochon de Rosedale meets Canadian Pacific Railway Chartered and stands aside.,"{""season"": 50, ""response"": ""Neutral"", ""roll"": 1, ""personal_year"": 1881, ""magnitude"": ""Significant"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
418,,succession,confederation,Baron Patterson of Kennebecasis: clean succession,Season 50 · Farquhar Patterson succeeds to Baron Patterson of Kennebecasis.,"{""season"": 50, ""nature"": ""clean"", ""cause"": ""death""}",engine,2026-09-08 13:29:24
419,,societal,confederation,Indian Act,Season 50 · Viscount Cameron of Cornwall meets Indian Act and resists.,"{""season"": 50, ""response"": ""Resist"", ""roll"": 3, ""personal_year"": 1876, ""magnitude"": ""Major"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:24
420,,societal,confederation,Pacific Scandal,Season 50 · Baron Bird of Winnipeg meets Pacific Scandal and stands aside.,"{""season"": 50, ""response"": ""Neutral"", ""roll"": 1, ""personal_year"": 1873, ""magnitude"": ""Significant"", ""tag"": ""Progressive""}",engine,2026-09-08 13:29:24
421,,relational,confederation,Baron Bird of Winnipeg and Viscount Mercier de Rimouski are joined by marriage,"Season 50 · Thomas Bird marries Léocadie Mercier, binding Baron Bird of Winnipeg to Viscount Mercier de Rimouski.","{""season"": 50, ""marker"": ""kin""}",engine,2026-09-08 13:29:24
422,,societal,confederation,British Columbia Joins; Treaty 1 Signed,Season 50 · Baron Cardinal of Steinbach meets British Columbia Joins; Treaty 1 Signed and leads.,"{""season"": 50, ""response"": ""Lead"", ""roll"": 7, ""personal_year"": 1871, ""magnitude"": ""Significant"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
423,,societal,confederation,Confederation Extension (Manitoba Act),Season 50 · Baron Rouleau de LaSalle meets Confederation Extension (Manitoba Act) and resists.,"{""season"": 50, ""response"": ""Resist"", ""roll"": 3, ""personal_year"": 1870, ""magnitude"": ""Major"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
424,,expansion,confederation,Baron Rouleau de LaSalle takes La Prairie—Atateken,Season 50 · Baron Rouleau de LaSalle takes La Prairie—Atateken.,"{""season"": 50, ""riding"": ""La Prairie\u2014Atateken"", ""roll"": 12}",engine,2026-09-08 13:29:24
425,,relational,dominion,Baron Langelier de Charlevoix corresponds with Baron Elliott of Glengarry,Season 51 · Baron Langelier de Charlevoix opens a correspondence with Baron Elliott of Glengarry.,"{""season"": 51, ""marker"": ""+""}",engine,2026-09-08 13:29:24
426,,relational,confederation,Viscount Meagher of Chatham corresponds with Viscount Cameron of Cornwall,Season 51 · Viscount Meagher of Chatham opens a correspondence with Viscount Cameron of Cornwall.,"{""season"": 51, ""marker"": ""+""}",engine,2026-09-08 13:29:24
427,,relational,confederation,Viscount Cameron of Cornwall corresponds with Baron Rochon de Rosedale,Season 51 · Viscount Cameron of Cornwall opens a correspondence with Baron Rochon de Rosedale.,"{""season"": 51, ""marker"": ""\u25ce""}",engine,2026-09-08 13:29:24
428,,societal,confederation,British Columbia Joins; Treaty 1 Signed,Season 51 · Baron Rouleau de LaSalle meets British Columbia Joins; Treaty 1 Signed and exploits.,"{""season"": 51, ""response"": ""Exploit"", ""roll"": 4, ""personal_year"": 1871, ""magnitude"": ""Significant"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
429,,societal,confederation,Red River Resistance,Season 51 · Viscount Hendrie of Brampton meets Red River Resistance and leads.,"{""season"": 51, ""response"": ""Lead"", ""roll"": 6, ""personal_year"": 1869, ""magnitude"": ""Major"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
430,,relational,confederation,Baron Stefaniuk of Emerson and Baron Elliott of Glengarry form a compact,Season 52 · Baron Stefaniuk of Emerson and Baron Elliott of Glengarry enter into a compact.,"{""season"": 52, ""marker"": ""\u25c9+""}",engine,2026-09-08 13:29:24
431,,relational,confederation,Viscount Benjamin of Bellechasse wins a dispute with Baron Langelier de Charlevoix,Season 52 · Viscount Benjamin of Bellechasse carries a dispute against Baron Langelier de Charlevoix.,"{""season"": 52, ""outcome"": ""won"", ""marker"": ""~""}",engine,2026-09-08 13:29:24
432,,expansion,confederation,Viscount Mercier de Rimouski takes Rivière-du-Nord,Season 52 · Viscount Mercier de Rimouski takes Rivière-du-Nord.,"{""season"": 52, ""riding"": ""Rivi\u00e8re-du-Nord"", ""roll"": 8}",engine,2026-09-08 13:29:24
433,,relational,dominion,Baron Langelier de Charlevoix and Viscount Meagher of Chatham form a compact,Season 52 · Baron Langelier de Charlevoix and Viscount Meagher of Chatham enter into a compact.,"{""season"": 52, ""marker"": ""\u25c9+""}",engine,2026-09-08 13:29:24
434,,relational,confederation,Viscount Meagher of Chatham corresponds with Viscount Hays of Beloeil,Season 52 · Viscount Meagher of Chatham opens a correspondence with Viscount Hays of Beloeil.,"{""season"": 52, ""marker"": ""kin""}",engine,2026-09-08 13:29:24
435,,societal,confederation,Manitoba Schools Question,Season 52 · Baron Hoover of Simcoe meets Manitoba Schools Question and exploits.,"{""season"": 52, ""response"": ""Exploit"", ""roll"": 5, ""personal_year"": 1890, ""magnitude"": ""Major"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:24
436,,expansion,confederation,Earl Forbes of Preston takes South Shore—St. Margarets,Season 52 · Earl Forbes of Preston takes South Shore—St. Margarets.,"{""season"": 52, ""riding"": ""South Shore\u2014St. Margarets"", ""roll"": 8}",engine,2026-09-08 13:29:24
437,,societal,confederation,CPR Strike,Season 52 · Baron Rochon de Rosedale meets CPR Strike and leads.,"{""season"": 52, ""response"": ""Lead"", ""roll"": 6, ""personal_year"": 1883, ""magnitude"": ""Significant"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
438,,expansion,confederation,Baron Patterson of Kennebecasis takes Madawaska—Restigouche,Season 52 · Baron Patterson of Kennebecasis takes Madawaska—Restigouche.,"{""season"": 52, ""riding"": ""Madawaska\u2014Restigouche"", ""roll"": 7}",engine,2026-09-08 13:29:24
439,,societal,confederation,National Policy,Season 52 · Viscount Cameron of Cornwall meets National Policy and exploits.,"{""season"": 52, ""response"": ""Exploit"", ""roll"": 4, ""personal_year"": 1878, ""magnitude"": ""Significant"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:24
440,,expansion,confederation,Viscount Cameron of Cornwall takes King—Vaughan,Season 52 · Viscount Cameron of Cornwall takes King—Vaughan.,"{""season"": 52, ""riding"": ""King\u2014Vaughan"", ""roll"": 12}",engine,2026-09-08 13:29:24
441,,expansion,confederation,Baron Bird of Winnipeg takes Elmwood—Transcona,Season 52 · Baron Bird of Winnipeg takes Elmwood—Transcona.,"{""season"": 52, ""riding"": ""Elmwood\u2014Transcona"", ""roll"": 11}",engine,2026-09-08 13:29:24
442,,societal,confederation,Pacific Scandal,Season 52 · Baron Cardinal of Steinbach meets Pacific Scandal and resists.,"{""season"": 52, ""response"": ""Resist"", ""roll"": 2, ""personal_year"": 1873, ""magnitude"": ""Significant"", ""tag"": ""Progressive""}",engine,2026-09-08 13:29:24
443,,societal,confederation,Confederation Extension (Manitoba Act),Season 52 · Viscount Hendrie of Brampton meets Confederation Extension (Manitoba Act) and exploits.,"{""season"": 52, ""response"": ""Exploit"", ""roll"": 4, ""personal_year"": 1870, ""magnitude"": ""Major"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
444,,founding,confederation,Viscount Bhullar of Nanaimo founded,"Season 52 · Viscount Bhullar of Nanaimo is created, seated at Nanaimo—Ladysmith.","{""season"": 52, ""stats"": {""capital"": 36, ""influence"": 31, ""cohesion"": 69, ""ambition"": 10}, ""community"": ""Punjabi Sikh"", ""tag"": ""Progressive""}",engine,2026-09-08 13:29:24
445,,societal,dominion,Alaska Boundary Award,Season 53 · Viscount Benjamin of Bellechasse meets Alaska Boundary Award and resists.,"{""season"": 53, ""response"": ""Resist"", ""roll"": 2, ""personal_year"": 1903, ""magnitude"": ""Minor"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
446,,relational,confederation,Viscount Mercier de Rimouski corresponds with Viscount Bouchard de Terrebonne,Season 53 · Viscount Mercier de Rimouski opens a correspondence with Viscount Bouchard de Terrebonne.,"{""season"": 53, ""marker"": ""\u25ce""}",engine,2026-09-08 13:29:24
447,,succession,confederation,Viscount Hays of Beloeil: clean succession,Season 53 · Harris Hays succeeds to Viscount Hays of Beloeil.,"{""season"": 53, ""nature"": ""clean"", ""cause"": ""death""}",engine,2026-09-08 13:29:24
448,,expansion,confederation,Baron McLellan of Belfast takes Charlottetown,Season 53 · Baron McLellan of Belfast takes Charlottetown.,"{""season"": 53, ""riding"": ""Charlottetown"", ""roll"": 9}",engine,2026-09-08 13:29:24
449,,relational,confederation,Baron Cornwall of Steveston corresponds with Viscount Bhullar of Nanaimo,Season 53 · Baron Cornwall of Steveston opens a correspondence with Viscount Bhullar of Nanaimo.,"{""season"": 53, ""marker"": ""\u25ce""}",engine,2026-09-08 13:29:24
450,,societal,dominion,Alaska Boundary Award,Season 53 · Baron Langelier de Charlevoix meets Alaska Boundary Award and exploits.,"{""season"": 53, ""response"": ""Exploit"", ""roll"": 5, ""personal_year"": 1903, ""magnitude"": ""Minor"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
451,,other,dominion,Baron Langelier de Charlevoix endows an institution,Season 53 · Baron Langelier de Charlevoix endows an institution.,"{""season"": 53}",engine,2026-09-08 13:29:24
452,,societal,confederation,Death of Sir John A. Macdonald,Season 53 · Baron Hoover of Simcoe meets Death of Sir John A. Macdonald and leads.,"{""season"": 53, ""response"": ""Lead"", ""roll"": 6, ""personal_year"": 1891, ""magnitude"": ""Minor"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
453,,expansion,confederation,Earl Forbes of Preston takes Sackville—Bedford—Preston,Season 53 · Earl Forbes of Preston takes Sackville—Bedford—Preston.,"{""season"": 53, ""riding"": ""Sackville\u2014Bedford\u2014Preston"", ""roll"": 8}",engine,2026-09-08 13:29:24
454,,societal,confederation,Long Depression Reaches Canada,Season 53 · Baron Cardinal of Steinbach meets Long Depression Reaches Canada and leads.,"{""season"": 53, ""response"": ""Lead"", ""roll"": 6, ""personal_year"": 1874, ""magnitude"": ""Major"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:24
455,,societal,confederation,Pacific Scandal,Season 53 · Baron Rouleau de LaSalle meets Pacific Scandal and exploits.,"{""season"": 53, ""response"": ""Exploit"", ""roll"": 5, ""personal_year"": 1873, ""magnitude"": ""Significant"", ""tag"": ""Progressive""}",engine,2026-09-08 13:29:24
456,,expansion,confederation,Baron Rouleau de LaSalle takes Châteauguay—Les Jardins-de-Napierville,Season 53 · Baron Rouleau de LaSalle takes Châteauguay—Les Jardins-de-Napierville.,"{""season"": 53, ""riding"": ""Ch\u00e2teauguay\u2014Les Jardins-de-Napierville"", ""roll"": 10}",engine,2026-09-08 13:29:24
457,,societal,confederation,British Columbia Joins; Treaty 1 Signed,Season 53 · Viscount Hendrie of Brampton meets British Columbia Joins; Treaty 1 Signed and leads.,"{""season"": 53, ""response"": ""Lead"", ""roll"": 6, ""personal_year"": 1871, ""magnitude"": ""Significant"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
458,,founding,confederation,Baron Cousineau de Wiarton founded,"Season 53 · Baron Cousineau de Wiarton is created, seated at Bruce—Grey—Owen Sound.","{""season"": 53, ""stats"": {""capital"": 46, ""influence"": 35, ""cohesion"": 63, ""ambition"": 7}, ""community"": ""Franco-Ontarian"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:24
459,,relational,dominion,Viscount Benjamin of Bellechasse corresponds with Baron McLellan of Belfast,Season 54 · Viscount Benjamin of Bellechasse opens a correspondence with Baron McLellan of Belfast.,"{""season"": 54, ""marker"": ""~""}",engine,2026-09-08 13:29:24
460,,societal,confederation,Laurier Elected,Season 54 · Viscount Mercier de Rimouski meets Laurier Elected and leads.,"{""season"": 54, ""response"": ""Lead"", ""roll"": 7, ""personal_year"": 1896, ""magnitude"": ""Significant"", ""tag"": ""Progressive""}",engine,2026-09-08 13:29:24
461,,relational,confederation,Viscount Mercier de Rimouski and Viscount Hays of Beloeil form a compact,Season 54 · Viscount Mercier de Rimouski and Viscount Hays of Beloeil enter into a compact.,"{""season"": 54, ""marker"": ""\u25c9+""}",engine,2026-09-08 13:29:24
462,,societal,confederation,Montréal Smallpox Epidemic,Season 54 · Viscount Meagher of Chatham meets Montréal Smallpox Epidemic and resists.,"{""season"": 54, ""response"": ""Resist"", ""roll"": 3, ""personal_year"": 1885, ""magnitude"": ""Significant"", ""tag"": ""Progressive""}",engine,2026-09-08 13:29:24
463,,succession,confederation,Viscount Meagher of Chatham: clean succession,Season 54 · Eileen Meagher succeeds to Viscount Meagher of Chatham.,"{""season"": 54, ""nature"": ""clean"", ""cause"": ""death""}",engine,2026-09-08 13:29:24
464,,relational,confederation,Baron Hoover of Simcoe corresponds with Baron Elliott of Glengarry,Season 54 · Baron Hoover of Simcoe opens a correspondence with Baron Elliott of Glengarry.,"{""season"": 54, ""marker"": ""+""}",engine,2026-09-08 13:29:24
465,,societal,confederation,Chinese Immigration Act,Season 54 · Baron Rochon de Rosedale meets Chinese Immigration Act and exploits.,"{""season"": 54, ""response"": ""Exploit"", ""roll"": 5, ""personal_year"": 1885, ""magnitude"": ""Significant"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:24
466,,expansion,confederation,Baron Rochon de Rosedale takes Toronto—Danforth,Season 54 · Baron Rochon de Rosedale takes Toronto—Danforth.,"{""season"": 54, ""riding"": ""Toronto\u2014Danforth"", ""roll"": 10}",engine,2026-09-08 13:29:24
467,,relational,confederation,Baron Patterson of Kennebecasis reconciles with Baron Rochon de Rosedale,Season 54 · Baron Patterson of Kennebecasis makes peace with Baron Rochon de Rosedale.,"{""season"": 54, ""marker"": ""~""}",engine,2026-09-08 13:29:24
468,,societal,confederation,Laurier Elected,Season 54 · Baron Bird of Winnipeg meets Laurier Elected and stands aside.,"{""season"": 54, ""response"": ""Neutral"", ""roll"": 1, ""personal_year"": 1896, ""magnitude"": ""Significant"", ""tag"": ""Progressive""}",engine,2026-09-08 13:29:24
469,,relational,confederation,Baron Cardinal of Steinbach corresponds with Viscount Hays of Beloeil,Season 54 · Baron Cardinal of Steinbach opens a correspondence with Viscount Hays of Beloeil.,"{""season"": 54, ""marker"": ""\u25ce""}",engine,2026-09-08 13:29:24
470,,societal,confederation,Long Depression Reaches Canada,Season 54 · Baron Rouleau de LaSalle meets Long Depression Reaches Canada and stands aside.,"{""season"": 54, ""response"": ""Neutral"", ""roll"": 0, ""personal_year"": 1874, ""magnitude"": ""Major"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:24
471,,relational,confederation,Baron Rouleau de LaSalle corresponds with Baron Patterson of Kennebecasis,Season 54 · Baron Rouleau de LaSalle opens a correspondence with Baron Patterson of Kennebecasis.,"{""season"": 54, ""marker"": ""\u25ce""}",engine,2026-09-08 13:29:24
472,,other,confederation,Viscount Hendrie of Brampton names an heir,Season 54 · Viscount Hendrie of Brampton names Jane Hendrie heir.,"{""season"": 54, ""heir_age"": 18, ""role"": ""heir""}",engine,2026-09-08 13:29:24
473,,societal,confederation,Red River Resistance,Season 54 · Viscount Bhullar of Nanaimo meets Red River Resistance and exploits.,"{""season"": 54, ""response"": ""Exploit"", ""roll"": 5, ""personal_year"": 1869, ""magnitude"": ""Major"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
474,,other,confederation,Viscount Bhullar of Nanaimo names an heir,Season 54 · Viscount Bhullar of Nanaimo names Inder Bhullar heir.,"{""season"": 54, ""heir_age"": 33, ""role"": ""heir""}",engine,2026-09-08 13:29:24
475,,expansion,confederation,Baron Cousineau de Wiarton takes Parry Sound—Muskoka,Season 54 · Baron Cousineau de Wiarton takes Parry Sound—Muskoka.,"{""season"": 54, ""riding"": ""Parry Sound\u2014Muskoka"", ""roll"": 8}",engine,2026-09-08 13:29:24
476,,founding,confederation,Baron Pegahmagabow of Wawa founded,"Season 54 · Baron Pegahmagabow of Wawa is created, seated at Sault Ste. Marie—Algoma.","{""season"": 54, ""stats"": {""capital"": 34, ""influence"": 37, ""cohesion"": 73, ""ambition"": 1}, ""community"": ""Anishinaabe"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
477,,societal,dominion,Alberta and Saskatchewan Created,Season 55 · Viscount Benjamin of Bellechasse meets Alberta and Saskatchewan Created and exploits.,"{""season"": 55, ""response"": ""Exploit"", ""roll"": 4, ""personal_year"": 1905, ""magnitude"": ""Significant"", ""tag"": ""Progressive""}",engine,2026-09-08 13:29:24
478,,societal,confederation,Diamond Jubilee,Season 55 · Viscount Mercier de Rimouski meets Diamond Jubilee and exploits.,"{""season"": 55, ""response"": ""Exploit"", ""roll"": 5, ""personal_year"": 1897, ""magnitude"": ""Minor"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:24
479,,societal,dominion,Alberta and Saskatchewan Created,Season 55 · Baron Langelier de Charlevoix meets Alberta and Saskatchewan Created and leads.,"{""season"": 55, ""response"": ""Lead"", ""roll"": 6, ""personal_year"": 1905, ""magnitude"": ""Significant"", ""tag"": ""Progressive""}",engine,2026-09-08 13:29:24
480,,succession,dominion,Baron Langelier de Charlevoix: clean succession,Season 55 · Clémence Langelier succeeds to Baron Langelier de Charlevoix.,"{""season"": 55, ""nature"": ""clean"", ""cause"": ""death""}",engine,2026-09-08 13:29:24
481,,relational,confederation,Baron Rochon de Rosedale corresponds with Viscount Cameron of Cornwall,Season 55 · Baron Rochon de Rosedale opens a correspondence with Viscount Cameron of Cornwall.,"{""season"": 55, ""marker"": ""+""}",engine,2026-09-08 13:29:24
482,,societal,confederation,Canadian Pacific Railway Chartered,Season 55 · Viscount Cameron of Cornwall meets Canadian Pacific Railway Chartered and resists.,"{""season"": 55, ""response"": ""Resist"", ""roll"": 2, ""personal_year"": 1881, ""magnitude"": ""Significant"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
483,,societal,confederation,Diamond Jubilee,Season 55 · Baron Bird of Winnipeg meets Diamond Jubilee and exploits.,"{""season"": 55, ""response"": ""Exploit"", ""roll"": 5, ""personal_year"": 1897, ""magnitude"": ""Minor"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:24
484,,societal,confederation,Indian Act,Season 55 · Baron Cardinal of Steinbach meets Indian Act and leads.,"{""season"": 55, ""response"": ""Lead"", ""roll"": 6, ""personal_year"": 1876, ""magnitude"": ""Major"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:24
485,,expansion,confederation,Baron Rouleau de LaSalle takes Saint-Jean,Season 55 · Baron Rouleau de LaSalle takes Saint-Jean.,"{""season"": 55, ""riding"": ""Saint-Jean"", ""roll"": 9}",engine,2026-09-08 13:29:24
486,,societal,confederation,Pacific Scandal,Season 55 · Viscount Hendrie of Brampton meets Pacific Scandal and leads.,"{""season"": 55, ""response"": ""Lead"", ""roll"": 6, ""personal_year"": 1873, ""magnitude"": ""Significant"", ""tag"": ""Progressive""}",engine,2026-09-08 13:29:24
487,,societal,confederation,Confederation Extension (Manitoba Act),Season 55 · Viscount Bhullar of Nanaimo meets Confederation Extension (Manitoba Act) and leads.,"{""season"": 55, ""response"": ""Lead"", ""roll"": 6, ""personal_year"": 1870, ""magnitude"": ""Major"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
488,,societal,confederation,Red River Resistance,Season 55 · Baron Cousineau de Wiarton meets Red River Resistance and resists.,"{""season"": 55, ""response"": ""Resist"", ""roll"": 3, ""personal_year"": 1869, ""magnitude"": ""Major"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
489,,other,confederation,Baron Pegahmagabow of Wawa names an heir,Season 55 · Baron Pegahmagabow of Wawa names Joseph Pegahmagabow heir.,"{""season"": 55, ""heir_age"": 12, ""role"": ""heir""}",engine,2026-09-08 13:29:24
490,,other,confederation,Viscount Wallace of Perth names an heir,Season 56 · Viscount Wallace of Perth names Sarah Wallace heir.,"{""season"": 56, ""heir_age"": 30, ""role"": ""heir""}",engine,2026-09-08 13:29:24
491,,relational,dominion,Viscount Benjamin of Bellechasse corresponds with Baron Stefaniuk of Emerson,Season 56 · Viscount Benjamin of Bellechasse opens a correspondence with Baron Stefaniuk of Emerson.,"{""season"": 56, ""marker"": ""\u25ce""}",engine,2026-09-08 13:29:24
492,,succession,confederation,Viscount Hays of Beloeil: disorderly succession,Season 56 · Viscount Hays of Beloeil passes in disorder to Joseph Hays.,"{""season"": 56, ""nature"": ""disorderly"", ""cause"": ""death""}",engine,2026-09-08 13:29:24
493,,transfer,confederation,Viscount Hays of Beloeil loses Hochelaga—Rosemont-Est,Season 56 · Viscount Hays of Beloeil gives up Hochelaga—Rosemont-Est (disorderly succession).,"{""season"": 56, ""reason"": ""disorderly succession"", ""riding"": ""Hochelaga\u2014Rosemont-Est""}",engine,2026-09-08 13:29:24
494,,other,confederation,Viscount Hays of Beloeil names an heir,Season 56 · Viscount Hays of Beloeil names Rosa Hays heir.,"{""season"": 56, ""heir_age"": 22, ""role"": ""heir""}",engine,2026-09-08 13:29:24
495,,expansion,confederation,Viscount Meagher of Chatham takes Nipissing—Timiskaming,Season 56 · Viscount Meagher of Chatham takes Nipissing—Timiskaming.,"{""season"": 56, ""riding"": ""Nipissing\u2014Timiskaming"", ""roll"": 10}",engine,2026-09-08 13:29:24
496,,expansion,confederation,Baron Hoover of Simcoe takes Nepean,Season 56 · Baron Hoover of Simcoe takes Nepean.,"{""season"": 56, ""riding"": ""Nepean"", ""roll"": 8}",engine,2026-09-08 13:29:24
497,,expansion,confederation,Baron Bird of Winnipeg takes Winnipeg North,Season 56 · Baron Bird of Winnipeg takes Winnipeg North.,"{""season"": 56, ""riding"": ""Winnipeg North"", ""roll"": 11}",engine,2026-09-08 13:29:24
498,,other,confederation,Baron Cardinal of Steinbach names an heir,Season 56 · Baron Cardinal of Steinbach names Nancy Cardinal heir.,"{""season"": 56, ""heir_age"": 27, ""role"": ""heir""}",engine,2026-09-08 13:29:24
499,,societal,confederation,Indian Act,Season 56 · Baron Rouleau de LaSalle meets Indian Act and stands aside.,"{""season"": 56, ""response"": ""Neutral"", ""roll"": 1, ""personal_year"": 1876, ""magnitude"": ""Major"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:24
500,,societal,confederation,Long Depression Reaches Canada,Season 56 · Viscount Hendrie of Brampton meets Long Depression Reaches Canada and exploits.,"{""season"": 56, ""response"": ""Exploit"", ""roll"": 4, ""personal_year"": 1874, ""magnitude"": ""Major"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:24
501,,expansion,confederation,Viscount Hendrie of Brampton takes Brampton South,Season 56 · Viscount Hendrie of Brampton takes Brampton South.,"{""season"": 56, ""riding"": ""Brampton South"", ""roll"": 9}",engine,2026-09-08 13:29:24
502,,societal,confederation,British Columbia Joins; Treaty 1 Signed,Season 56 · Viscount Bhullar of Nanaimo meets British Columbia Joins; Treaty 1 Signed and exploits.,"{""season"": 56, ""response"": ""Exploit"", ""roll"": 4, ""personal_year"": 1871, ""magnitude"": ""Significant"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
503,,expansion,confederation,Viscount Bhullar of Nanaimo takes Cowichan—Malahat—Langford,Season 56 · Viscount Bhullar of Nanaimo takes Cowichan—Malahat—Langford.,"{""season"": 56, ""riding"": ""Cowichan\u2014Malahat\u2014Langford"", ""roll"": 8}",engine,2026-09-08 13:29:24
504,,societal,confederation,Confederation Extension (Manitoba Act),Season 56 · Baron Cousineau de Wiarton meets Confederation Extension (Manitoba Act) and leads.,"{""season"": 56, ""response"": ""Lead"", ""roll"": 6, ""personal_year"": 1870, ""magnitude"": ""Major"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
505,,relational,confederation,Baron Cousineau de Wiarton corresponds with Baron Cardinal of Steinbach,Season 56 · Baron Cousineau de Wiarton opens a correspondence with Baron Cardinal of Steinbach.,"{""season"": 56, ""marker"": ""\u25ce""}",engine,2026-09-08 13:29:24
506,,societal,confederation,Red River Resistance,Season 56 · Baron Pegahmagabow of Wawa meets Red River Resistance and leads.,"{""season"": 56, ""response"": ""Lead"", ""roll"": 7, ""personal_year"": 1869, ""magnitude"": ""Major"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
507,,relational,confederation,Baron Pegahmagabow of Wawa corresponds with Baron Rouleau de LaSalle,Season 56 · Baron Pegahmagabow of Wawa opens a correspondence with Baron Rouleau de LaSalle.,"{""season"": 56, ""marker"": ""\u25ce""}",engine,2026-09-08 13:29:24
508,,founding,confederation,Baron Byrne of Cooksville founded,"Season 56 · Baron Byrne of Cooksville is created, seated at Mississauga East—Cooksville.","{""season"": 56, ""stats"": {""capital"": 49, ""influence"": 35, ""cohesion"": 66, ""ambition"": 2}, ""community"": ""Irish Catholic"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
509,,societal,dominion,Vancouver Anti-Asian Riots,Season 57 · Viscount Benjamin of Bellechasse meets Vancouver Anti-Asian Riots and leads.,"{""season"": 57, ""response"": ""Lead"", ""roll"": 6, ""personal_year"": 1907, ""magnitude"": ""Significant"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:24
510,,societal,confederation,South African War,Season 57 · Viscount Mercier de Rimouski meets South African War and resists.,"{""season"": 57, ""response"": ""Resist"", ""roll"": 3, ""personal_year"": 1899, ""magnitude"": ""Major"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:24
511,,relational,confederation,Baron Langelier de Charlevoix corresponds with Baron Patterson of Kennebecasis,Season 57 · Baron Langelier de Charlevoix opens a correspondence with Baron Patterson of Kennebecasis.,"{""season"": 57, ""marker"": ""\u25ce""}",engine,2026-09-08 13:29:24
512,,relational,confederation,Baron Hoover of Simcoe corresponds with Baron Rochon de Rosedale,Season 57 · Baron Hoover of Simcoe opens a correspondence with Baron Rochon de Rosedale.,"{""season"": 57, ""marker"": ""\u25ce""}",engine,2026-09-08 13:29:24
513,,societal,confederation,Jesuits' Estates Act Controversy,Season 57 · Baron Rochon de Rosedale meets Jesuits' Estates Act Controversy and exploits.,"{""season"": 57, ""response"": ""Exploit"", ""roll"": 4, ""personal_year"": 1888, ""magnitude"": ""Significant"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:24
514,,relational,confederation,Baron Rochon de Rosedale corresponds with Baron Hoover of Simcoe,Season 57 · Baron Rochon de Rosedale opens a correspondence with Baron Hoover of Simcoe.,"{""season"": 57, ""marker"": ""+""}",engine,2026-09-08 13:29:24
515,,societal,confederation,CPR Strike,Season 57 · Viscount Cameron of Cornwall meets CPR Strike and resists.,"{""season"": 57, ""response"": ""Resist"", ""roll"": 3, ""personal_year"": 1883, ""magnitude"": ""Significant"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
516,,relational,confederation,Viscount Cameron of Cornwall and Baron Rochon de Rosedale are joined by marriage,"Season 57 · Isabella Cameron marries Olivier Rochon, binding Viscount Cameron of Cornwall to Baron Rochon de Rosedale.","{""season"": 57, ""marker"": ""kin""}",engine,2026-09-08 13:29:24
517,,societal,confederation,South African War,Season 57 · Baron Bird of Winnipeg meets South African War and leads.,"{""season"": 57, ""response"": ""Lead"", ""roll"": 6, ""personal_year"": 1899, ""magnitude"": ""Major"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:24
518,,societal,confederation,National Policy,Season 57 · Baron Cardinal of Steinbach meets National Policy and resists.,"{""season"": 57, ""response"": ""Resist"", ""roll"": 3, ""personal_year"": 1878, ""magnitude"": ""Significant"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:24
